,iso_code,location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,Unnamed: 0,Country Name,Country Code,2020
141,OMN,Oman,2021-12-19,6046310.0,3121257.0,2890827.0,32412.0,3650.0,15961.0,115.75,59.76,55.34,0.62,3056.0,558.0,0.011,182,Oman,OMN,64648393044.0
142,PAK,Pakistan,2021-12-28,153477237.0,95159489.0,68508472.0,,1526150.0,1344715.0,68.15,42.26,30.42,,5971.0,766768.0,0.34,184,Pakistan,PAK,262610000000.0
143,PAN,Panama,2021-12-28,5801105.0,3024827.0,2462661.0,313617.0,24571.0,8736.0,132.4,69.04,56.2,7.16,1994.0,370.0,0.008,185,Panama,PAN,53977036995.0
144,PER,Peru,2021-12-25,48228055.0,24228683.0,21041985.0,2957387.0,16232.0,171431.0,144.57,72.63,63.08,8.87,5139.0,27612.0,0.083,186,Peru,PER,202014000000.0
145,PHL,Philippines,2021-12-28,107277506.0,56110301.0,48647158.0,1614505.0,986565.0,713604.0,96.61,50.53,43.81,1.45,6426.0,742492.0,0.669,187,Philippines,PHL,361489000000.0
146,PNG,Papua New Guinea,2021-12-20,504018.0,283915.0,220103.0,,,774.0,5.53,3.11,2.41,,85.0,192.0,0.002,189,Papua New Guinea,PNG,24668899683.0
147,POL,Poland,2021-12-28,46549512.0,21589717.0,20984699.0,6560576.0,838.0,95836.0,123.16,57.12,55.52,17.36,2536.0,18746.0,0.05,190,Poland,POL,596624000000.0
148,PRT,Portugal,2021-12-28,19137482.0,9180041.0,9088140.0,2754084.0,82119.0,38971.0,188.21,90.28,89.38,27.09,3833.0,0.0,0.0,194,Portugal,PRT,228539000000.0
149,PRY,Paraguay,2021-12-23,6640918.0,3456659.0,2909472.0,274787.0,10430.0,24964.0,91.98,47.88,40.3,3.81,3458.0,2377.0,0.033,195,Paraguay,PRY,35670301496.0
150,PSE,Palestine,2021-12-20,3315774.0,2053044.0,1478705.0,2779.0,17447.0,9350.0,63.49,39.31,28.31,0.05,1790.0,2352.0,0.045,196,West Bank and Gaza,PSE,15561300000.0
151,PYF,French Polynesia,2021-12-20,329095.0,169995.0,159100.0,,405.0,638.0,116.48,60.17,56.31,,2258.0,418.0,0.14800000000000002,199,French Polynesia,PYF,
152,QAT,Qatar,2021-12-28,5172597.0,2360308.0,2218292.0,,9126.0,6177.0,176.51,80.54,75.7,,2108.0,3261.0,0.111,200,Qatar,QAT,144411000000.0
153,ROU,Romania,2021-12-27,15770552.0,7930488.0,7786593.0,,21249.0,16149.0,82.45,41.46,40.71,,844.0,29541.0,0.154,201,Romania,ROU,248716000000.0
154,RUS,Russia,2021-12-28,144418725.0,73066936.0,65843137.0,6952001.0,550042.0,342483.0,98.98,50.08,45.13,4.76,2347.0,111504.0,0.076,202,Russian Federation,RUS,1483500000000.0
155,RWA,Rwanda,2021-12-23,12316233.0,7322935.0,4938137.0,,211071.0,160767.0,92.77,55.16,37.19,,12109.0,59393.0,0.447,203,Rwanda,RWA,10333991456.0
156,SAU,Saudi Arabia,2021-12-28,50215461.0,24986423.0,23125154.0,2103884.0,261708.0,224299.0,142.09,70.7,65.43,5.95,6347.0,12653.0,0.036000000000000004,205,Saudi Arabia,SAU,700118000000.0
157,SDN,Sudan,2021-12-15,5251235.0,4016849.0,1234386.0,,6534.0,282083.0,11.69,8.94,2.75,,6281.0,176341.0,0.393,206,Sudan,SDN,21329109522.0
158,SEN,Senegal,2021-12-15,2269383.0,1328153.0,941230.0,,7129.0,29174.0,13.2,7.72,5.47,,1697.0,0.0,0.0,207,Senegal,SEN,24644234595.0
159,SGP,Singapore,2021-12-18,9543800.0,4799168.0,4744632.0,622452.0,22439.0,3636.0,175.0,88.0,87.0,11.41,667.0,3636.0,0.067,208,Singapore,SGP,339998000000.0
160,SLB,Solomon Islands,2021-12-20,235918.0,179973.0,55945.0,,,1001.0,33.51,25.56,7.95,,1422.0,483.0,0.069,209,Solomon Islands,SLB,1545888426.0
161,SLE,Sierra Leone,2021-12-08,923880.0,747044.0,385232.0,,1928.0,4596.0,11.35,9.18,4.73,,565.0,3651.0,0.045,210,Sierra Leone,SLE,4063289450.0
162,SLV,El Salvador,2021-12-22,9553791.0,4476802.0,4146488.0,930501.0,25117.0,15894.0,146.56,68.68,63.61,14.27,2438.0,2030.0,0.031,211,El Salvador,SLV,24638720000.0
163,SMR,San Marino,2021-12-19,53942.0,24306.0,21625.0,,9.0,271.0,158.61,71.47,63.58,,7968.0,3.0,0.009000000000000001,212,San Marino,SMR,
164,SOM,Somalia,2021-12-26,1504914.0,1203131.0,810010.0,,17966.0,22239.0,9.2,7.35,4.95,,1359.0,18905.0,0.116,213,Somalia,SOM,4988441440.0
165,SRB,Serbia,2021-12-26,8218178.0,3306626.0,3202009.0,1709543.0,13844.0,9426.0,119.6,48.12,46.6,24.88,1372.0,1145.0,0.017,214,Serbia,SRB,53335016425.0
166,SSD,South Sudan,2021-12-15,268640.0,227262.0,181577.0,,4158.0,1243.0,2.36,2.0,1.6,,109.0,876.0,0.008,216,South Sudan,SSD,
167,STP,Sao Tome and Principe,2021-12-13,137612.0,86396.0,51216.0,,,848.0,61.61,38.68,22.93,,3796.0,175.0,0.078,219,Sao Tome and Principe,STP,472914469.9
168,SUR,Suriname,2021-12-27,488364.0,261122.0,227242.0,,495.0,193.0,82.52,44.12,38.4,,326.0,55.0,0.009000000000000001,220,Suriname,SUR,2884248048.0
169,SVK,Slovakia,2021-12-28,6044295.0,2714923.0,2420662.0,908710.0,18.0,9559.0,110.69,49.72,44.33,16.64,1750.0,678.0,0.012,221,Slovak Republic,SVK,105173000000.0
170,SVN,Slovenia,2021-12-28,2894044.0,1249041.0,1188463.0,456540.0,7395.0,7817.0,139.22,60.09,57.17,21.96,3760.0,613.0,0.029,222,Slovenia,SVN,53589609581.0
171,SWE,Sweden,2021-12-28,17517091.0,7746286.0,7370712.0,2399970.0,109728.0,33377.0,172.41,76.24,72.55,23.62,3285.0,2902.0,0.029,223,Sweden,SWE,541220000000.0
172,SWZ,Eswatini,2021-12-28,399616.0,334088.0,301243.0,,7504.0,904.0,34.09,28.5,25.7,,771.0,449.0,0.038,224,Eswatini,SWZ,3972728948.0
173,SXM,Sint Maarten (Dutch part),2021-12-23,52304.0,27141.0,25163.0,,,19.0,120.46,62.51,57.95,,438.0,9.0,0.021,225,Sint Maarten (Dutch part),SXM,
174,SYC,Seychelles,2021-12-28,183472.0,82348.0,78263.0,,1315.0,13.0,185.49,83.26,79.13,,131.0,2.0,0.002,226,Seychelles,SYC,1059886364.0
175,SYR,Syria,2021-12-21,1753522.0,1194896.0,781603.0,,,21547.0,9.59,6.54,4.28,,1179.0,19946.0,0.109,227,Syrian Arab Republic,SYR,
176,TCA,Turks and Caicos Islands,2021-11-05,56343.0,29210.0,27133.0,,,69.0,143.64,74.47,69.17,,1759.0,32.0,0.08199999999999999,228,Turks and Caicos Islands,TCA,924583000.0
177,TCD,Chad,2021-12-15,366585.0,285922.0,80663.0,,,12413.0,2.17,1.69,0.48,,734.0,12073.0,0.071,229,Chad,TCD,10829076802.0
178,TGO,Togo,2021-12-24,2377399.0,1380216.0,997183.0,,,11786.0,28.04,16.28,11.76,,1390.0,1936.0,0.023,232,Togo,TGO,7574636979.0
179,THA,Thailand,2021-12-27,102681943.0,51032649.0,45423045.0,6226249.0,521693.0,374147.0,146.79,72.96,64.94,8.9,5349.0,66022.0,0.094,233,Thailand,THA,501644000000.0
180,TJK,Tajikistan,2021-12-19,6287345.0,3520397.0,2766948.0,,113265.0,41165.0,64.49,36.11,28.38,,4222.0,28728.0,0.295,234,Tajikistan,TJK,8194150302.0
181,TKM,Turkmenistan,2021-08-29,7580976.0,4374694.0,3206282.0,,,41369.0,123.91,71.51,52.41,,6762.0,23860.0,0.39,235,Turkmenistan,TKM,
182,TLS,Timor,2021-12-21,1195990.0,662963.0,533027.0,,7881.0,3856.0,89.0,49.33,39.66,,2869.0,762.0,0.057,237,Timor-Leste,TLS,1902156800.0
183,TON,Tonga,2021-12-20,130236.0,73609.0,56627.0,,,764.0,121.99,68.95,53.04,,7156.0,22.0,0.021,239,Tonga,TON,488829964.1
184,TTO,Trinidad and Tobago,2021-12-28,1391155.0,707398.0,664699.0,66979.0,0.0,1700.0,99.13,50.41,47.36,4.77,1211.0,402.0,0.029,242,Trinidad and Tobago,TTO,21588037505.0
185,TUN,Tunisia,2021-12-27,11917120.0,6754144.0,5798130.0,813686.0,45811.0,76023.0,99.84,56.59,48.58,6.82,6369.0,43335.0,0.363,243,Tunisia,TUN,41620349986.0
186,TUR,Turkey,2021-12-28,129972508.0,56845477.0,51487225.0,21639806.0,639663.0,601577.0,152.83,66.84,60.54,25.45,7074.0,19582.0,0.023,244,Turkey,TUR,719955000000.0
187,TUV,Tuvalu,2021-10-22,12114.0,6230.0,5884.0,,,30.0,101.58,52.24,49.34,,2516.0,0.0,0.0,245,Tuvalu,TUV,48855550.2
188,TZA,Tanzania,2021-12-28,2431769.0,2079930.0,1359225.0,,,33284.0,3.95,3.38,2.21,,541.0,22138.0,0.036000000000000004,246,Tanzania,TZA,62409709111.0
189,UGA,Uganda,2021-12-20,9763030.0,8354808.0,1408222.0,,134275.0,177260.0,20.72,17.73,2.99,,3762.0,166312.0,0.353,247,Uganda,UGA,37600368181.0
190,UKR,Ukraine,2021-12-28,28181762.0,14639496.0,13562946.0,,129437.0,82696.0,64.84,33.68,31.2,,1903.0,25436.0,0.059,248,Ukraine,UKR,155499000000.0
191,URY,Uruguay,2021-12-28,6947573.0,2766812.0,2674166.0,1506595.0,4264.0,3527.0,199.35,79.39,76.73,43.23,1012.0,303.0,0.009000000000000001,250,Uruguay,URY,53628827440.0
192,USA,United States,2021-12-28,505013980.0,242813374.0,203832941.0,67165461.0,3.0,518623.0,152.11,73.13,61.39,20.23,1562.0,140411.0,0.042,251,United States,USA,20893700000000.0
193,UZB,Uzbekistan,2021-12-28,38681611.0,18757677.0,11102403.0,,179801.0,162159.0,113.98,55.27,32.72,,4778.0,28804.0,0.085,252,Uzbekistan,UZB,59929951114.0
194,VCT,Saint Vincent and the Grenadines,2021-12-17,60367.0,33316.0,25709.0,,665.0,439.0,54.25,29.94,23.11,,3945.0,173.0,0.155,253,St. Vincent and the Grenadines,VCT,807474074.1
195,VEN,Venezuela,2021-12-17,30049714.0,18393519.0,11608305.0,,,207518.0,104.68,64.08,40.44,,7229.0,109880.0,0.383,254,"Venezuela, RB",VEN,
196,VGB,British Virgin Islands,2021-12-23,35799.0,18432.0,17005.0,,,83.0,117.67,60.59,55.9,,2728.0,11.0,0.036000000000000004,255,British Virgin Islands,VGB,
197,VNM,Vietnam,2021-12-26,146335052.0,77138616.0,56385381.0,,739617.0,944701.0,149.06,78.58,57.44,,9623.0,177828.0,0.181,257,Vietnam,VNM,271158000000.0
198,VUT,Vanuatu,2021-12-20,152711.0,102308.0,50403.0,,,729.0,48.56,32.53,16.03,,2318.0,292.0,0.093,258,Vanuatu,VUT,881547928.6
199,WSM,Samoa,2021-12-20,263189.0,141424.0,121765.0,,,42.0,131.5,70.66,60.84,,210.0,10.0,0.005,260,Samoa,WSM,807100820.6
200,YEM,Yemen,2021-12-02,786027.0,556652.0,366587.0,,,2545.0,2.58,1.83,1.2,,83.0,1809.0,0.006,262,"Yemen, Rep.",YEM,
201,ZAF,South Africa,2021-12-27,27798057.0,18848374.0,15766591.0,,3161.0,30046.0,46.3,31.39,26.26,,500.0,18155.0,0.03,263,South Africa,ZAF,335442000000.0
202,ZMB,Zambia,2021-12-25,1597020.0,806611.0,1097097.0,,22571.0,27138.0,8.44,4.26,5.8,,1434.0,7624.0,0.04,264,Zambia,ZMB,18110631358.0
203,ZWE,Zimbabwe,2021-12-27,7218438.0,4105296.0,3113142.0,,3798.0,11918.0,47.83,27.2,20.63,,790.0,6425.0,0.043,265,Zimbabwe,ZWE,18051170799.0
